game_date,pitcher_name,pitch,Single,Strikeout,Walk,Double,Triple,Home Run,month_year
2017-04-02,Chris Archer,Change-Up,1,0,0,0,0,0,2017-04
2017-04-02,Chris Archer,Four-Seam Fastball,2,1,1,0,0,0,2017-04
2017-04-02,Chris Archer,Slider,3,4,0,1,0,0,2017-04
2017-04-02,Jon Lester,Change-Up,0,2,0,0,0,0,2017-04
2017-04-02,Jon Lester,Curveball,0,0,1,0,0,0,2017-04
2017-04-02,Jon Lester,Cutter,2,1,1,0,0,0,2017-04
2017-04-02,Jon Lester,Four-Seam Fastball,2,3,0,1,0,0,2017-04
2017-04-02,Jon Lester,Sinker,2,1,0,0,0,0,2017-04
2017-04-02,Madison Bumgarner,Curveball,1,7,0,0,0,0,2017-04
2017-04-02,Madison Bumgarner,Cutter,1,1,0,0,1,0,2017-04
2017-04-02,Madison Bumgarner,Four-Seam Fastball,2,3,0,0,0,1,2017-04
2017-04-02,Masahiro Tanaka,Curveball,0,0,0,0,0,0,2017-04
2017-04-02,Masahiro Tanaka,Four-Seam Fastball,0,1,0,0,0,0,2017-04
2017-04-02,Masahiro Tanaka,Sinker,1,1,1,2,0,1,2017-04
2017-04-02,Masahiro Tanaka,Slider,0,0,1,0,0,0,2017-04
2017-04-02,Masahiro Tanaka,Splitter,3,1,0,0,0,1,2017-04
2017-04-02,Zack Greinke,Change-Up,0,1,0,0,0,0,2017-04
2017-04-02,Zack Greinke,Curveball,0,0,1,0,0,0,2017-04
2017-04-02,Zack Greinke,Four-Seam Fastball,0,0,1,0,0,0,2017-04
2017-04-02,Zack Greinke,Sinker,1,0,0,0,0,1,2017-04
2017-04-02,Zack Greinke,Slider,1,3,0,1,0,0,2017-04
2017-04-03,Clayton Kershaw,Change-Up,0,0,0,0,0,0,2017-04
2017-04-03,Clayton Kershaw,Curveball,0,3,0,0,0,0,2017-04
2017-04-03,Clayton Kershaw,Four-Seam Fastball,1,3,0,0,0,1,2017-04
2017-04-03,Clayton Kershaw,Slider,0,2,0,0,0,0,2017-04
2017-04-03,Corey Kluber,Change-Up,0,1,0,0,0,0,2017-04
2017-04-03,Corey Kluber,Curveball,0,2,1,0,0,0,2017-04
2017-04-03,Corey Kluber,Cutter,0,0,0,0,0,1,2017-04
2017-04-03,Corey Kluber,Four-Seam Fastball,0,1,0,0,0,0,2017-04
2017-04-03,Corey Kluber,Sinker,1,2,2,2,0,2,2017-04
2017-04-03,Dallas Keuchel,Change-Up,0,2,0,0,0,0,2017-04
2017-04-03,Dallas Keuchel,Cutter,0,0,1,0,0,0,2017-04
2017-04-03,Dallas Keuchel,Four-Seam Fastball,0,0,0,0,0,0,2017-04
2017-04-03,Dallas Keuchel,Sinker,1,2,0,0,0,0,2017-04
2017-04-03,Dallas Keuchel,Slider,1,0,1,0,0,0,2017-04
2017-04-03,Danny Duffy,Change-Up,0,3,0,0,0,0,2017-04
2017-04-03,Danny Duffy,Sinker,1,3,3,0,0,1,2017-04
2017-04-03,Danny Duffy,Slider,1,2,0,0,0,0,2017-04
2017-04-03,Gerrit Cole,Change-Up,1,0,0,0,0,0,2017-04
2017-04-03,Gerrit Cole,Four-Seam Fastball,3,1,1,0,1,1,2017-04
2017-04-03,Gerrit Cole,Knuckle Curve,0,0,0,0,0,0,2017-04
2017-04-03,Gerrit Cole,Slider,1,0,0,0,0,0,2017-04
2017-04-03,Jhoulys Chacín,Change-Up,0,0,0,1,0,0,2017-04
2017-04-03,Jhoulys Chacín,Curveball,0,0,0,0,0,0,2017-04
2017-04-03,Jhoulys Chacín,Four-Seam Fastball,1,1,0,2,0,1,2017-04
2017-04-03,Jhoulys Chacín,Slider,2,1,0,0,0,1,2017-04
2017-04-03,Jon Gray,Change-Up,0,2,0,1,0,0,2017-04
2017-04-03,Jon Gray,Curveball,0,0,0,0,0,0,2017-04
2017-04-03,Jon Gray,Four-Seam Fastball,3,3,0,2,0,0,2017-04
2017-04-03,Jon Gray,Slider,0,2,2,0,0,0,2017-04
2017-04-03,Julio Teheran,Change-Up,0,0,0,0,0,0,2017-04
2017-04-03,Julio Teheran,Curveball,0,0,0,0,0,0,2017-04
2017-04-03,Julio Teheran,Four-Seam Fastball,2,5,2,0,0,0,2017-04
2017-04-03,Julio Teheran,Sinker,1,0,0,0,0,0,2017-04
2017-04-03,Julio Teheran,Slider,1,1,1,0,0,0,2017-04
2017-04-03,Kevin Gausman,Change-Up,1,0,0,0,0,0,2017-04
2017-04-03,Kevin Gausman,Four-Seam Fastball,2,4,3,0,0,0,2017-04
2017-04-03,Kevin Gausman,Slider,1,0,1,0,0,0,2017-04
2017-04-03,Kevin Gausman,Splitter,1,0,0,0,0,0,2017-04
2017-04-03,Mike Minor,Change-Up,0,1,0,0,0,0,2017-04
2017-04-03,Mike Minor,Four-Seam Fastball,1,0,0,0,0,0,2017-04
2017-04-03,Mike Minor,Slider,0,0,0,0,0,0,2017-04
2017-04-03,Rick Porcello,Change-Up,0,0,0,0,0,0,2017-04
2017-04-03,Rick Porcello,Curveball,0,0,0,0,0,0,2017-04
2017-04-03,Rick Porcello,Four-Seam Fastball,4,1,0,0,0,0,2017-04
2017-04-03,Rick Porcello,Sinker,1,1,0,1,0,0,2017-04
2017-04-03,Rick Porcello,Slider,0,3,1,0,0,0,2017-04
2017-04-03,Stephen Strasburg,Change-Up,0,0,0,0,0,0,2017-04
2017-04-03,Stephen Strasburg,Curveball,1,1,0,0,0,0,2017-04
2017-04-03,Stephen Strasburg,Four-Seam Fastball,2,2,0,2,0,0,2017-04
2017-04-03,Stephen Strasburg,Slider,1,0,0,0,0,0,2017-04
2017-04-03,Yu Darvish,Curveball,0,0,0,0,0,0,2017-04
2017-04-03,Yu Darvish,Cutter,0,0,0,0,0,0,2017-04
